PA,SZ,AG,Sex,Pop,Time
Bedok,Bedok North,55_to_59,Females,1910,2000
Bedok,Bedok North,60_to_64,Males,1750,2000
Bedok,Bedok North,60_to_64,Females,1710,2000
Bedok,Bedok North,65_to_69,Males,1260,2000
Bedok,Bedok North,65_to_69,Females,1440,2000
Bedok,Bedok North,70_to_74,Males,950,2000
Bedok,Bedok North,70_to_74,Females,1070,2000
Bedok,Bedok North,75_to_79,Males,480,2000
Bedok,Bedok North,75_to_79,Females,610,2000
Bedok,Bedok North,80_to_84,Males,250,2000
Bedok,Bedok North,80_to_84,Females,370,2000
Bedok,Bedok North,85_and_over,Males,150,2000
Bedok,Bedok North,85_and_over,Females,280,2000
Bedok,Bedok Reservoir,0_to_4,Males,590,2000
Bedok,Bedok Reservoir,0_to_4,Females,480,2000
Bedok,Bedok Reservoir,5_to_9,Males,750,2000
Bedok,Bedok Reservoir,5_to_9,Females,670,2000
Bedok,Bedok Reservoir,10_to_14,Males,930,2000
Bedok,Bedok Reservoir,10_to_14,Females,870,2000
Bedok,Bedok Reservoir,15_to_19,Males,860,2000
Bedok,Bedok Reservoir,15_to_19,Females,780,2000
Bedok,Bedok Reservoir,20_to_24,Males,760,2000
Bedok,Bedok Reservoir,20_to_24,Females,710,2000
Bedok,Bedok Reservoir,25_to_29,Males,790,2000
Bedok,Bedok Reservoir,25_to_29,Females,800,2000
Bedok,Bedok Reservoir,30_to_34,Males,670,2000
Bedok,Bedok Reservoir,30_to_34,Females,670,2000
Bedok,Bedok Reservoir,35_to_39,Males,860,2000
Bedok,Bedok Reservoir,35_to_39,Females,860,2000
Bedok,Bedok Reservoir,40_to_44,Males,920,2000
Bedok,Bedok Reservoir,40_to_44,Females,1060,2000
Bedok,Bedok Reservoir,45_to_49,Males,980,2000
Bedok,Bedok Reservoir,45_to_49,Females,1000,2000
Bedok,Bedok Reservoir,50_to_54,Males,780,2000
Bedok,Bedok Reservoir,50_to_54,Females,700,2000
Bedok,Bedok Reservoir,55_to_59,Males,400,2000
Bedok,Bedok Reservoir,55_to_59,Females,350,2000
Bedok,Bedok Reservoir,60_to_64,Males,290,2000
Bedok,Bedok Reservoir,60_to_64,Females,300,2000
Bedok,Bedok Reservoir,65_to_69,Males,200,2000
Bedok,Bedok Reservoir,65_to_69,Females,250,2000
Bedok,Bedok Reservoir,70_to_74,Males,150,2000
