Country,Country,Year,Avg. Income,Avg. LifeExp,Pop
Hungary,Hungary,1802,1250,36,3560000
Honduras,Honduras,1802,675,33.9,130000
Haiti,Haiti,1802,634,29,723000
Guyana,Guyana,1802,1210,31.1,166000
Guinea-Bissau,Guinea-Bissau,1802,777,32,218000
Guinea,Guinea,1802,450,29.5,984000
Guatemala,Guatemala,1802,857,25.8,471000
Grenada,Grenada,1802,959,31.4,29400
Greece,Greece,1802,1380,36.6,2170000
Ghana,Ghana,1802,697,28,2020000
Germany,Germany,1802,1660,38.4,23100000
Georgia,Georgia,1802,543,31.9,1070000
Gambia,Gambia,1802,814,28.8,103000
Gabon,Gabon,1802,390,30.6,158000
France,France,1802,1810,34.4,29500000
Finland,Finland,1802,1250,39.2,995000
Fiji,Fiji,1802,785,26.1,131000
Ethiopia,Ethiopia,1802,523,29.7,2950000
Estonia,Estonia,1802,940,35.3,334000
Eritrea,Eritrea,1802,532,30.2,205000
Equatorial Guinea,Equatorial Guinea,1802,357,29.8,80400
El Salvador,El Salvador,1802,975,28.7,248000
Egypt,Egypt,1802,791,33,4240000
Ecuador,Ecuador,1802,529,32.9,500000
Dominican Republic,Dominican Republic,1802,667,29.9,89000
Dominica,Dominica,1802,663,,20000
Djibouti,Djibouti,1802,757,29.9,22800
Denmark,Denmark,1802,2020,44.4,1070000
Czech Republic,Czech Republic,1802,1920,35,5520000
Cyprus,Cyprus,1802,854,38.5,184000
Cuba,Cuba,1802,884,32.5,366000
Croatia,Croatia,1802,1100,36.1,1230000
Cote d'Ivoire,Cote d'Ivoire,1802,819,31.2,1090000
Costa Rica,Costa Rica,1802,775,30.2,53500
"Congo, Dem. Rep.","Congo, Dem. Rep.",1802,489,31.6,5160000
Comoros,Comoros,1802,697,32.1,56300
Colombia,Colombia,1802,962,32,1210000
China,China,1802,984,32,327000000
Chile,Chile,1802,1030,32,771000
Chad,Chad,1802,418,30.9,1430000
Central African Republic,Central African Republic,1802,424,30,479000
Canada,Canada,1802,1330,39,661000
Cameroon,Cameroon,1802,626,28.8,1860000
Cambodia,Cambodia,1802,904,35,2090000
Burundi,Burundi,1802,419,31.5,899000
Burkina Faso,Burkina Faso,1802,480,29.2,1670000
Bulgaria,Bulgaria,1802,1090,35.9,2010000
Brazil,Brazil,1802,1110,32,3720000
Botswana,Botswana,1802,397,33.6,121000
Bosnia and Herzegovina,Bosnia and Herzegovina,1802,669,35.1,852000
Bhutan,Bhutan,1802,630,28.8,90000
Benin,Benin,1802,597,31,637000
Belize,Belize,1802,579,26.5,25500
Belgium,Belgium,1802,2410,40,3170000
Belarus,Belarus,1802,608,36.2,2360000
Barbados,Barbados,1802,914,32.1,81700
Bangladesh,Bangladesh,1802,876,25.5,19300000
Bahrain,Bahrain,1802,1250,30.3,64500
Bahamas,Bahamas,1802,1450,35.2,27400
Azerbaijan,Azerbaijan,1802,775,29.2,880000
Austria,Austria,1802,1860,34.4,3220000
Australia,Australia,1802,818,34,349000
Armenia,Armenia,1802,514,34,413000
Argentina,Argentina,1802,1510,33.2,534000
Antigua and Barbuda,Antigua and Barbuda,1802,757,33.5,37000
Angola,Angola,1802,623,27,1570000
Andorra,Andorra,1802,1200,,2650
Algeria,Algeria,1802,717,28.8,2520000
Albania,Albania,1802,667,35.4,413000
Afghanistan,Afghanistan,1802,603,28.2,3280000
Vietnam,,1802,861,32,6550000
Turkmenistan,,1802,945,24,367000
Swaziland,,1802,490,32.3,86000
"Micronesia, Fed. Sts.",,1802,518,26.7,16400
"Macedonia, FYR",,1802,690,36.1,392000
Kazakhstan,,1802,1140,26.2,2040000
"Congo, Rep.",,1802,578,32.7,314000
Cape Verde,,1802,529,33.8,55700
Brunei,,1802,1510,29.2,2130
Bolivia,,1802,854,33,1100000
Zimbabwe,Zimbabwe,1803,872,33.7,1090000
Zambia,Zambia,1803,668,32.6,747000
Yemen,Yemen,1803,884,23.4,2590000
Venezuela,Venezuela,1803,682,32.2,718000
Vanuatu,Vanuatu,1803,586,24.3,27800
Uzbekistan,Uzbekistan,1803,502,26.9,1920000
Uruguay,Uruguay,1803,1760,32.9,55000
United States,United States,1803,2170,39.4,7200000
United Kingdom,United Kingdom,1803,3340,37.3,12800000
United Arab Emirates,United Arab Emirates,1803,1010,30.7,40200
Ukraine,Ukraine,1803,766,36.6,11200000
Uganda,Uganda,1803,464,25.3,2100000
Turkey,Turkey,1803,1220,35,9820000
Tunisia,Tunisia,1803,716,28.8,864000
Trinidad and Tobago,Trinidad and Tobago,1803,1230,32.9,60000
Tonga,Tonga,1803,663,28.2,18600
Togo,Togo,1803,683,31.3,446000
Timor-Leste,Timor-Leste,1803,524,28.9,137000
Thailand,Thailand,1803,931,30.4,4670000
Tanzania,Tanzania,1803,562,32.2,3020000
Tajikistan,Tajikistan,1803,557,24.2,467000
